x	y	z	vz
-440.9	-265.67	-162.132	1.264
-440.022	-264.22	-161.723	1.312
-439.145	-262.769	-161.31	1.359
-438.267	-261.317	-160.894	1.406
-437.39	-259.863	-160.474	1.454
-436.512	-258.408	-160.051	1.501
-435.635	-256.952	-159.625	1.548
-434.757	-255.495	-159.196	1.594
-433.88	-254.036	-158.763	1.641
-433.002	-252.576	-158.327	1.688
-432.125	-251.115	-157.887	1.734
-431.247	-249.653	-157.445	1.781
-430.37	-248.189	-156.999	1.827
-429.492	-246.724	-156.55	1.873
-428.615	-245.258	-156.098	1.92
-427.737	-243.791	-155.642	1.966
-426.86	-242.322	-155.183	2.011
-425.982	-240.852	-154.721	2.057
-425.105	-239.381	-154.256	2.103
-424.227	-237.909	-153.788	2.148
-423.35	-236.435	-153.316	2.194
-422.472	-234.96	-152.841	2.239
-421.595	-233.484	-152.363	2.284
-420.717	-232.007	-151.882	2.329
-419.84	-230.528	-151.398	2.374
-418.962	-229.048	-150.911	2.419
-418.085	-227.567	-150.421	2.463
-417.207	-226.085	-149.927	2.508
-416.33	-224.601	-149.43	2.552
-415.452	-223.116	-148.931	2.596
-414.575	-221.63	-148.428	2.64
-413.697	-220.142	-147.922	2.684
-412.82	-218.654	-147.413	2.728
-411.942	-217.164	-146.901	2.772
-411.065	-215.672	-146.387	2.815
-410.187	-214.18	-145.869	2.858
-409.31	-212.686	-145.348	2.902
-408.432	-211.191	-144.824	2.945
-407.555	-209.695	-144.297	2.987
-406.677	-208.198	-143.767	3.03
-405.799	-206.699	-143.234	3.073
-404.922	-205.199	-142.699	3.115
-404.044	-203.698	-142.16	3.157
-403.167	-202.195	-141.619	3.199
-402.289	-200.691	-141.074	3.241
-401.412	-199.186	-140.527	3.283
-400.534	-197.68	-139.977	3.325
-399.657	-196.173	-139.424	3.366
-398.779	-194.664	-138.868	3.407
-397.902	-193.154	-138.309	3.449
-397.024	-191.643	-137.747	3.49
-396.147	-190.13	-137.183	3.53
-395.269	-188.616	-136.616	3.571
-394.392	-187.101	-136.046	3.611
-393.514	-185.585	-135.473	3.651
-392.637	-184.068	-134.898	3.692
-391.759	-182.549	-134.319	3.731
-390.882	-181.029	-133.738	3.771
-390.004	-179.507	-133.155	3.811
-389.127	-177.985	-132.568	3.85
-388.249	-176.461	-131.979	3.889
-387.372	-174.936	-131.388	3.928
-386.494	-173.41	-130.793	3.967
-385.617	-171.882	-130.196	4.005
-384.739	-170.353	-129.597	4.044
-383.862	-168.823	-128.994	4.082
-382.984	-167.292	-128.39	4.12
-382.107	-165.759	-127.782	4.158
-381.229	-164.225	-127.172	4.195
-380.352	-162.69	-126.559	4.233
-379.474	-161.154	-125.944	4.27
-378.597	-159.616	-125.327	4.307
-377.719	-158.077	-124.707	4.344
-376.842	-156.537	-124.084	4.38
-375.964	-154.996	-123.459	4.417
-375.087	-153.453	-122.831	4.453
-374.209	-151.909	-122.201	4.489
-373.332	-150.364	-121.569	4.525
-372.454	-148.818	-120.934	4.56
-371.577	-147.27	-120.296	4.595
-370.699	-145.721	-119.657	4.631
-369.822	-144.171	-119.015	4.665
-368.944	-142.62	-118.37	4.7
-368.067	-141.067	-117.723	4.735
-367.189	-139.513	-117.074	4.769
-366.312	-137.958	-116.423	4.803
-365.434	-136.402	-115.769	4.837
-364.557	-134.844	-115.113	4.87
-363.679	-133.285	-114.455	4.904
-362.802	-131.725	-113.794	4.937
-361.924	-130.164	-113.132	4.97
-361.047	-128.601	-112.467	5.002
-360.169	-127.037	-111.8	5.035
-359.292	-125.472	-111.13	5.067
-358.414	-123.905	-110.459	5.099
-357.537	-122.338	-109.785	5.131
-356.659	-120.769	-109.109	5.162
-355.782	-119.198	-108.432	5.193
-354.904	-117.627	-107.752	5.224
-354.027	-116.054	-107.07	5.255
-353.149	-114.48	-106.386	5.285
-352.272	-112.905	-105.699	5.316
-351.394	-111.329	-105.011	5.346
-350.517	-109.751	-104.321	5.376
-349.639	-108.172	-103.629	5.405
-348.762	-106.592	-102.935	5.434
-347.884	-105.01	-102.239	5.463
-347.007	-103.427	-101.541	5.492
-346.129	-101.843	-100.841	5.521
-345.252	-100.258	-100.139	5.549
-344.374	-98.671	-99.436	5.577
-343.497	-97.084	-98.73	5.605
-342.619	-95.495	-98.023	5.632
-341.742	-93.904	-97.314	5.659
-340.864	-92.313	-96.603	5.686
-339.987	-90.72	-95.89	5.713
-339.109	-89.126	-95.175	5.739
-338.232	-87.531	-94.459	5.766
-337.354	-85.934	-93.741	5.791
-336.477	-84.336	-93.021	5.817
-335.599	-82.737	-92.3	5.842
-334.721	-81.137	-91.577	5.867
-333.844	-79.535	-90.852	5.892
-332.966	-77.933	-90.126	5.917
-332.089	-76.329	-89.398	5.941
-331.211	-74.723	-88.668	5.965
-330.334	-73.117	-87.937	5.989
-329.456	-71.509	-87.205	6.012
-328.579	-69.9	-86.471	6.035
-327.701	-68.289	-85.735	6.058
-326.824	-66.678	-84.998	6.081
